,location,bath,balcony,price,total_sqft_int,bhk
0,others,3.0,2.0,150.0,1672.0,3
1,others,3.0,3.0,149.0,1750.0,3
2,others,3.0,2.0,150.0,1750.0,3
4,Devarachikkanahalli,2.0,2.0,40.0,1250.0,2
5,Devarachikkanahalli,2.0,2.0,83.0,1200.0,2
6,Devarachikkanahalli,2.0,2.0,40.0,1170.0,2
7,Devarachikkanahalli,2.0,2.0,65.0,1425.0,3
8,Devarachikkanahalli,2.0,2.0,43.0,947.0,2
9,Devarachikkanahalli,2.0,2.0,36.0,1130.0,2
10,Devarachikkanahalli,2.0,2.0,76.0,1417.0,3
11,Devarachikkanahalli,2.0,1.0,58.0,1230.0,2
12,Devarachikkanahalli,3.0,2.0,75.0,1705.0,3
13,Devarachikkanahalli,2.0,1.0,47.0,1116.0,2
14,Devarachikkanahalli,2.0,2.0,40.0,991.0,2
16,Electronic City,1.0,1.0,27.0,550.0,1
17,others,2.0,2.0,70.0,1450.0,3
18,others,1.0,1.0,25.5,700.0,1
19,Rachenahalli,1.0,0.0,28.0,440.0,1
20,Thanisandra,1.0,0.0,25.25,510.0,1
21,Thanisandra,1.0,1.0,25.25,510.0,1
22,others,2.0,0.0,480.0,2400.0,3
23,others,3.0,2.0,85.0,1540.0,3
24,others,1.0,0.0,45.0,600.0,1
25,others,4.0,2.0,150.0,3150.0,4
26,others,2.0,1.0,67.0,1250.0,2
27,others,4.0,1.0,428.0,2850.0,4
28,others,3.0,2.0,194.0,1630.0,3
29,others,2.0,3.0,235.0,1875.0,3
30,others,2.0,0.0,130.0,1200.0,3
31,others,2.0,2.0,148.0,1235.0,2
32,others,4.0,0.0,413.0,2750.0,4
33,others,4.0,2.0,368.0,2450.0,4
34,others,2.0,3.0,110.0,1415.0,2
35,others,2.0,2.0,65.5,860.0,2
36,others,3.0,3.0,300.0,3000.0,4
37,others,3.0,2.0,210.0,2350.0,3
38,others,2.0,2.0,45.0,1000.0,2
39,others,5.0,3.0,500.0,3000.0,4
41,1st Phase JP Nagar,3.0,1.0,167.0,1875.0,3
42,1st Phase JP Nagar,4.0,1.0,210.0,2065.0,3
44,1st Phase JP Nagar,3.0,2.0,225.0,2059.0,3
45,1st Phase JP Nagar,2.0,1.0,100.0,1394.0,2
46,1st Phase JP Nagar,2.0,2.0,93.0,1077.0,2
47,1st Phase JP Nagar,2.0,0.0,180.0,1566.0,2
48,1st Phase JP Nagar,2.0,2.0,50.0,840.0,1
49,1st Phase JP Nagar,3.0,3.0,131.0,1590.0,3
50,1st Phase JP Nagar,3.0,2.0,210.0,2180.0,3
51,1st Phase JP Nagar,2.0,2.0,88.5,1180.0,2
52,1st Phase JP Nagar,2.0,1.5843757375501535,86.0,1200.0,2
53,1st Phase JP Nagar,2.0,2.0,85.0,1394.0,2
54,1st Phase JP Nagar,3.0,3.0,175.0,2077.0,3
55,1st Phase JP Nagar,2.0,1.0,85.0,1205.0,2
57,1st Phase JP Nagar,2.0,1.0,75.0,900.0,2
58,others,2.0,1.0,67.0,1400.0,2
59,others,2.0,2.0,55.0,1200.0,2
60,others,2.0,1.0,56.0,940.0,2
61,others,4.0,2.0,301.0,3000.0,4
62,others,3.0,2.0,90.0,1480.0,3
63,others,3.0,2.0,90.0,1480.0,3
64,others,3.0,3.0,110.0,1550.0,3
65,others,3.0,3.0,223.0,1718.0,3
66,others,2.0,1.0,97.0,1000.0,2
67,others,4.0,2.0,200.0,2800.0,5
68,others,1.0,1.0,55.0,1000.0,2
69,others,2.0,2.0,78.0,1040.0,2
70,others,2.0,1.0,42.5,850.0,2
71,others,2.0,1.0,50.75,1450.0,3
72,others,2.0,1.0,40.25,1150.0,2
73,others,2.0,2.0,47.25,1350.0,3
74,others,2.0,2.0,47.25,1350.0,3
75,others,2.0,2.0,41.0,900.0,2
76,others,3.0,3.0,69.0,1681.0,3
77,others,2.0,2.0,47.25,1350.0,3
78,others,2.0,1.0,40.25,1150.0,2
79,others,4.0,2.0,220.0,1500.0,4
81,others,3.0,2.0,230.0,1500.0,4
83,others,4.0,1.0,325.0,2400.0,5
84,others,2.0,1.0,80.0,1056.0,2
85,others,2.0,3.0,90.0,1320.0,2
86,others,2.0,3.0,95.0,1300.0,2
87,others,3.0,2.0,140.0,1650.0,3
88,others,3.0,3.0,240.0,2150.0,3
89,others,3.0,1.0,270.0,2100.0,3
